,YY,F,CC,M,T
OC,1996,71.11590909,OC,66.10663636,68.45870953
SA,1996,71.5745,SA,66.07125,68.812
AllWorld,1996,70.21508608,AllWorld,64.75771967,67.41449375
AF,1997,55.39,AF,51.44203774,53.39698251
AS,1997,71.81082759,AS,66.58913793,69.08949117
EU,1997,78.26359459,EU,71.08886486,74.60064865
NA,1997,73.70246429,NA,67.94746429,70.76462544
OC,1997,71.41345455,OC,66.39154545,68.75528603
SA,1997,71.843,SA,66.24475,69.02675
AllWorld,1997,70.40389017,AllWorld,64.95063338,67.60563063
AF,1998,55.08732075,AF,50.99469811,53.00484261
AS,1998,72.03968966,AS,66.79693103,69.30567788
EU,1998,78.57808333,EU,71.49447222,74.96399526
NA,1998,73.65214286,NA,67.9895,70.76226481
OC,1998,71.59263636,OC,66.59272727,68.95221508
SA,1998,72.19375,SA,66.57925,69.3715
AllWorld,1998,70.52393716,AllWorld,65.07459644,67.72674927
AF,1999,55.77464151,AF,51.75343396,53.72270318
AS,1999,72.38837931,AS,67.26851724,69.72115139
EU,1999,78.7385,EU,71.72647222,75.1601836
NA,1999,74.18675,NA,68.44953571,71.25846516
OC,1999,71.576,OC,66.75041667,69.0383435
SA,1999,72.5355,SA,66.8385,69.6695
AllWorld,1999,70.86662847,AllWorld,65.4644793,68.0950578
AF,2000,56.11601887,AF,52.68113208,54.39959365
AS,2000,72.78724138,AS,67.58996552,70.07879058
EU,2000,78.77002703,EU,71.88740541,75.25684047
NA,2000,74.47725,NA,68.73382143,71.54495557
OC,2000,71.87330769,OC,66.70246154,69.16909756
SA,2000,72.88125,SA,66.96525,69.8945
AllWorld,2000,71.15084916,AllWorld,65.76000599,68.39062964
AF,2001,56.3615283,AF,53.04183019,54.70391532
AS,2001,73.13658621,AS,67.86634483,70.39350799
EU,2001,79.19897297,EU,72.30783784,75.68171589
NA,2001,74.63532143,NA,68.91142857,71.71139373
OC,2001,72.21909091,OC,67.31527273,69.64597118
SA,2001,73.261,SA,67.23825,70.21775
AllWorld,2001,71.46874997,AllWorld,66.11349403,68.72570902
AF,2002,56.66388679,AF,53.44758491,55.06037092
AS,2002,73.38644828,AS,68.11324138,70.64335576
EU,2002,79.26021622,EU,72.48624324,75.80131575
NA,2002,74.96685714,NA,69.26171429,72.053777
OC,2002,72.13727273,OC,67.31972727,69.61112195
SA,2002,73.59375,SA,67.4065,70.4625
AllWorld,2002,71.66807186,AllWorld,66.33916851,68.93874023
