Year,continent,female,male,health expenditure per capita,all,GDP per capita,Female,Male,Health,All,GDP
2015,AF,64.4037037,60.29814815,288.8730952,62.35714286,5722.55102,7.78521664,7.813495623,0.773342601,7.567614424,1.619461409
2015,AS,76.64137931,71.19310345,1233.184839,73.85517241,23398.27586,9.264525286,9.225275059,3.301361001,8.963006361,6.621628126
2015,EU,82.16666667,76.53589744,3162.727155,78.91764706,31704.44118,9.932430338,9.917599761,8.466941658,9.577384352,8.972243111
2015,NA,77.77619048,72.24761905,1887.756799,75.1125,18303.125,9.401702968,9.361920267,5.053716588,9.11559466,5.179718711
2015,OC,73.45,68.785,625.3689032,82,33696,8.878746552,8.913230555,1.674176038,9.951456311,9.535847113
2015,SA,77.33076923,71.20769231,1075.596191,75.05,14527,9.347859777,9.227165498,2.879480193,9.108009709,4.111088883
2016,AF,64.95555556,60.80185185,294.0808717,62.9244898,5685.795918,7.851925322,7.878766064,0.787284347,7.636467208,1.609059847
2016,AS,76.88965517,71.35862069,1314.7576,74.07586207,23610.6339,9.294537246,9.246722952,3.519739563,8.989789086,6.681724688
2016,EU,82.48717949,76.85897436,3340.272071,79.24117647,32134,9.97117441,9.959464398,8.942247422,9.61664763,9.093806717
2016,NA,77.86666667,72.25238095,1946.06975,75.16875,18444.3125,9.412639866,9.36253732,5.209826275,9.122421117,5.219674267
2016,OC,73.655,68.925,669.4377337,82.1,34295,8.90352726,8.931371898,1.792152771,9.963592233,9.705361964
2016,SA,77.43846154,71.28461538,1064.488251,75.07,13990.1,9.360877786,9.237133269,2.849743109,9.110436893,3.959148109
2017,AF,65.42037037,61.17222222,291.5080867,63.35510204,5697.830682,7.908112837,7.926759035,0.780396741,7.688725976,1.612465642
2017,AS,77.3137931,71.64827586,1399.180737,74.43103448,23960.95501,9.345807678,9.284256765,3.745748871,9.032892534,6.780864307
2017,EU,82.5974359,77.05897436,3493.864543,79.36764706,33001.53788,9.984502371,9.985380603,9.353430061,9.631996002,9.339316825
2017,NA,77.91428571,72.35714286,1993.679614,75.2375,18711.38273,9.418396128,9.376112474,5.337282714,9.130764563,5.295254183
2017,OC,73.79,69.04,692.8230457,82.2,34875.95,8.919846264,8.946273715,1.854757625,9.975728155,9.86976873
2017,SA,77.59230769,71.56153846,1177.470352,75.23,13918.31626,9.37947494,9.273017244,3.152207664,9.129854369,3.938833569
2018,AF,65.73703704,61.48888889,298.4589471,63.65102041,5741.957545,7.94639198,7.967793025,0.799004899,7.724638399,1.624953386
2018,AS,77.46206897,71.85517241,1426.509194,74.60344828,24180.79495,9.363731487,9.311066632,3.818909925,9.053816538,6.84307822
2018,EU,82.72564103,77.17179487,3735.383191,79.50588235,33819.60335,10,10,10,9.64877213,9.570826419
2018,NA,77.98571429,72.4,2067.870768,75.325,18976.92723,9.427030521,9.381665947,5.535899966,9.141383495,5.370402325
2018,OC,73.99,69.1,733.4170914,82.4,35336.137,8.944022565,8.954048576,1.963432006,10,10
2018,SA,77.71538462,71.63076923,1237.143962,75.29,13811.91824,9.394352664,9.281988238,3.311959974,9.137135922,3.908723311
