43.2,61.3,72.3,78.7,,Thailand
29.0,24.8,58.6,68.0,,Timor
40.9,48.7,54.7,60.2,AF,Togo
55.0,63.1,71.9,75.0,OC,Tokelau
54.0,64.8,69.0,70.8,OC,Tonga
55.9,66.8,69.1,73.8,NA,Trinidad and Tobago
37.6,59.5,73.7,76.0,AF,Tunisia
47.7,59.5,71.9,77.6,AS,Turkey
49.7,59.5,65.0,68.8,AS,Turkmenistan
48.2,68.0,73.6,76.4,,Turks and Caicos Islands
36.8,58.5,63.5,64.2,OC,Tuvalu
39.3,46.3,48.3,62.7,AF,Uganda
62.2,69.5,67.9,74.4,EU,Ukraine
41.1,65.1,74.4,79.6,AS,United Arab Emirates
68.6,72.7,77.9,81.1,EU,United Kingdom
68.1,72.5,76.8,79.0,NA,United States
57.0,67.5,72.7,75.0,,United States Virgin Islands
46.0,61.6,70.5,76.3,,Upper-middle-income countries
65.6,69.3,75.0,77.6,SA,Uruguay
54.8,62.2,65.7,71.1,AS,Uzbekistan
44.5,58.1,69.0,69.8,OC,Vanuatu
65.9,72.6,79.3,83.3,,Vatican
51.1,67.1,72.5,72.0,SA,Venezuela
49.2,62.9,72.5,74.0,,Vietnam
43.7,55.4,74.6,77.9,OC,Wallis and Futuna
34.9,36.5,62.7,70.1,AF,Western Sahara
46.5,58.3,66.5,72.6,WD,World
31.7,45.2,62.6,64.6,AS,Yemen
45.1,54.2,45.2,62.3,AF,Zambia
49.6,57.6,44.7,61.4,AF,Zimbabwe
