,YY,LE
OC,2018,74.36263636363637
SA,2018,76.958
AllWorld,2018,75.79869797611111
AF,2019,65.97701886792453
AS,2019,77.61955172413793
EU,2019,82.74543243243244
NA,2019,77.98164285714286
OC,2019,74.50281818181817
SA,2019,77.15875
AllWorld,2019,75.99753567724265
AF,2020,65.71709433962263
AS,2020,76.60079310344828
EU,2020,82.00310810810811
NA,2020,77.29014285714285
OC,2020,74.59472727272727
SA,2020,75.73649999999999
AllWorld,2020,75.32372761350818
