Year,continent,female,male,health expenditure per capita,all,GDP per capita,,Female,Male,Health,All,GDP
2012,NA,77.43809523809524,72.06666666666668,1640.795878092448,74.8125,17461.5,78,6.402736003093715,6.430648233630549,1.187165780676799,9.570458031996495,9.169094765818341
2012,OC,73.185,68.47,569.2043266296387,81.2,32674.0,79,7.771559317664245,7.266480466513187,2.2633080909114116,7.1578639783768025,3.2562379378698916
2012,SA,76.81538461538462,70.50769230769231,955.828987121582,74.46000000000001,13729.8,80,2.712639109697932,2.733811688539337,0.3583591710719358,2.4895901818978743,0.7247871628327225
2013,AF,63.398148148148145,59.4574074074074,271.43973638497147,61.41836734693877,5619.285714285715,81,7.5473317459776545,7.394867500631658,2.843909661529721,6.795715663973844,6.151651267901906
2013,AS,76.22068965517242,70.82068965517242,1164.4211807250977,73.44827586206897,23006.41379310345,82,9.714798264082845,9.59928012995056,7.999888649540407,8.653470154224298,8.560681793340793
2013,EU,81.96923076923078,76.19487179487179,3016.805021398208,78.63823529411764,30724.70588235294,83,8.069191153451882,7.966500666948242,4.376211813182735,7.342209072978303,4.503393879054284
2013,NA,77.6047619047619,72.21428571428571,1714.9299689398872,74.975,17725.5625,84,6.417817857603229,6.467564946068176,1.2608143444751883,9.749433851997953,9.267412451484864
2013,OC,73.225,68.56,595.6639785766602,81.7,32989.0,85,7.841167876938943,7.367449252667374,2.4012034297726674,7.247351888377533,3.48367951737845
2013,SA,77.0,70.75384615384615,1005.3705190022787,74.71000000000001,14458.5,86,2.9095410991277433,2.8826939033083647,0.3923813387455939,2.651033676674704,0.7577890371079579
2014,AF,63.920370370370364,59.82037037037038,283.66284935147155,61.86938775510204,5725.0204081632655,87,7.616240219167686,7.416084002032591,3.057347743825178,6.843853987974239,6.199039639000943
2014,AS,76.40344827586206,70.87241379310345,1241.10288473276,73.58275862068966,23158.241379310344,88,9.816310746358447,9.713921772563133,8.207811028186532,8.75559165151925,8.719091689126184
2014,EU,82.23846153846155,76.47435897435898,3091.5051036161535,78.9235294117647,31232.235294117647,89,8.08355482441333,7.968453932156585,4.595396905151016,7.364581050478485,4.59515705234304
2014,NA,77.64285714285714,72.21904761904761,1793.676395840115,75.0375,18019.5625,90,6.463063421131782,6.514736300849584,1.349648623827095,9.785229015998244,9.376654324447669
2014,OC,73.345,68.675,627.5793886184692,81.8,33339.0,91,7.875972156576292,7.45264166598497,2.5177165042978262,7.311783183578054,3.4915137202680686
2014,SA,77.0923076923077,70.96153846153847,1047.2300643920898,74.89,14483.6,92,3.0917801744510847,3.0786715125451316,0.40688368836620836,2.8256264153700066,0.7570182926981326
2015,AF,64.40370370370371,60.298148148148144,288.8730951944987,62.357142857142854,5722.551020408163,93,7.70595125030189,7.547626310718382,3.035308425622211,6.941364951975036,6.273959114635827
2015,AS,76.64137931034483,71.19310344827586,1233.184839101938,73.85517241379311,23398.275862068964,94,9.78924075108495,9.739163969101682,8.406052554505036,8.753486053636877,8.866476417732724
2015,EU,82.16666666666667,76.53589743589744,3162.727154900046,78.91764705882352,31704.441176470587,95,8.133827672778388,7.980173523406627,4.857263033396453,7.391427423478703,4.683662476920226
2015,NA,77.77619047619048,72.24761904761905,1887.7567994859482,75.1125,18303.125,96,6.502653289219268,6.559856727162234,1.3434958943946582,9.85681934399883,9.48808103486973
2015,OC,73.45,68.785,625.3689031600952,82.0,33696.0,97,7.965883212306103,7.553610452139161,2.5966716061751494,7.369055445978521,3.5050597125154557
2015,SA,77.33076923076922,71.20769230769231,1075.59619140625,75.05,14527.0,98,3.2998539079620137,3.285283565693984,0.4213791646408641,3.028709182555339,0.7455463035899104
2016,AF,64.95555555555555,60.80185185185186,294.08087165682923,62.92448979591837,5685.7959183673465,99,7.79956276105062,7.615519115201369,3.2623604180079306,7.0203611759756726,6.340240227280389
2016,AS,76.8896551724138,71.35862068965517,1314.7576000976562,74.0758620689655,23610.633896551724,100,9.910088944270186,9.871685500929054,8.900236232179294,8.869293937167235,9.000550161818586
2016,EU,82.48717948717949,76.85897435897436,3340.272071389591,79.24117647058823,32134.0,101,8.167941391311825,7.982126788614963,5.0195729926066335,7.411562203228872,4.727729868174328
2016,NA,77.86666666666667,72.25238095238095,1946.0697496202256,75.16875,18444.3125,102,6.579947793580544,6.617282724287431,1.4661583572407273,9.89261450799912,9.675040697454643
2016,OC,73.655,68.925,669.4377336502075,82.1,34295.0,103,8.006488205216346,7.585163197812346,2.5657534414531358,7.376214478778579,3.337482679390514
2016,SA,77.43846153846154,71.28461538461539,1064.4882507324219,75.07,13990.1,104,6.973961242641689,6.894158067569617,3.22676627936297,6.3130981079699,3.5591725182277623
2016,WD,74.7,69.6,1301.9697265625,72.1,14700.372,105,3.475110643234647,3.437204193009311,0.41421800031100386,3.1828475418219035,0.749302589532099
2017,AF,65.42037037037036,61.172222222222224,291.5080867180458,63.35510204081633,5697.830681632653,106,7.959482425246364,7.7343315230466025,3.497346230334616,7.147495723976714,6.449582327240019
2017,AS,77.31379310344828,71.64827586206897,1399.1807373046875,74.43103448275862,23960.955013793104,107,9.951660722725908,9.95372263967933,9.32774997970685,8.9145642916382,9.271325770774071
2017,EU,82.5974358974359,77.05897435897437,3493.864543241613,79.36764705882354,33001.53788235294,108,8.185895980013626,8.025098623198446,5.15209167133888,7.43617137847907,4.811087729864607
2017,NA,77.91428571428571,72.35714285714286,1993.6796137491863,75.2375,18711.382725,109,6.630849052550161,6.66445407906884,1.5312497141544839,9.928409671999415,9.856366600591045
2017,OC,73.78999999999999,69.03999999999999,692.8230457305908,82.2,34875.95,110,8.06449533794526,7.6987530822358,2.880231104374482,7.4334867411790455,3.315077564516586
2017,SA,77.5923076923077,71.56153846153846,1177.4703521728516,75.22999999999999,13918.316260000001,111,7.087075151463068,6.976195206319893,3.3486129924871477,6.384688435970485,3.6352429404055924
2017,WD,75.0,69.8,1345.7454833984375,72.3,14944.094,112,3.594508658101663,3.567096329363917,0.43356522702182465,3.288772006720727,0.7630754500780295
2018,AF,65.73703703703704,61.48888888888889,298.4589471083421,63.65102040816327,5741.957544897959,113,8.015389299721303,7.819197528650339,3.573413051440482,7.209211523977217,6.518198687796923
2018,AS,77.46206896551725,71.85517241379311,1426.5091943359375,74.60344827586206,24180.794948275863,114,10.0,10.0,10.0,8.964045841873894,9.526660068526233
2018,EU,82.72564102564102,77.17179487179487,3735.3831912769992,79.50588235294117,33819.60335294117,115,8.212827863066341,8.042678010073505,5.358597485736414,7.467492146979328,4.893969384772416
2018,NA,77.9857142857143,72.4,2067.8707682291665,75.325,18976.92723125,116,6.70625832509775,6.689065220693923,1.644240359914583,10.0,10.000000000000002
2018,OC,73.99,69.1,733.4170913696289,82.4,35336.137,117,8.110901044128386,7.727150553341669,3.0463283621513875,7.4549638395792215,3.2818686531327748
2018,SA,77.71538461538461,71.63076923076923,1237.1439615885417,75.28999999999999,13811.918239999999,118,7.162484424010657,7.058232345070174,3.5200572037587956,6.4920739279713615,3.7189911935348867
2018,WD,75.2,70.0,1407.340087890625,72.6,15212.415,
